"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2610507I01Rik",487.071204041138,-3.619674077411,0.109194835510192,-33.1487662442897,5.89999092216361e-241,1.06937335464215e-236
"Rpl29",3960.97354774297,-4.43950950032525,0.143019165610014,-31.0413606553332,1.49223043866326e-211,1.35233383503858e-207
"Gm8615",216.037642843346,4.05264747415002,0.148610315512365,27.270297221143,9.54932378677049e-164,5.76938312117384e-160
"Rpl21",2437.91868616768,-3.95826931603493,0.15098919490334,-26.2155799861635,1.76550538916661e-151,7.99994629466121e-148
"Gm5506",1676.94452886095,2.80560631874374,0.109843207573541,25.5419190746534,6.75173187675753e-144,2.4475028053246e-140
"Trim12a",158.801926442827,-7.75156377215827,0.397665452721878,-19.4926758638489,1.26680345645612e-84,3.82680210804452e-81
"Gm11127",990.37401409755,6.55874721561098,0.363629023053579,18.0369189470462,9.99641618310003e-73,2.58835776169554e-69
"C920006O11Rik",70.1502523102709,-2.78878411492752,0.157389671311384,-17.7189779462091,2.99300840678426e-70,6.78103467162058e-67
"D730005E14Rik",113.462276683512,-4.7059749128202,0.268408708483767,-17.5328697023435,8.04069597314003e-69,1.61930682792403e-65
"Rab6b",415.602770492432,-4.96297126646737,0.291767250386649,-17.0100354302632,6.91959175083313e-65,1.2541760048385e-61
"Ifi202b",95.9195583949282,4.54329123962417,0.276026261661535,16.4596339937943,7.15316617497969e-61,1.17864669928643e-57
"Gm5801",39.8594359197099,3.87997875921892,0.253228636884415,15.3220378506792,5.44822194090831e-53,8.22908522324693e-50
"Iqcg",96.8941821363351,4.61161101882436,0.304127491477458,15.1634138578563,6.1773239805773e-52,8.61261516522796e-49
"Tmem181c-ps",603.393842083622,4.44957031836373,0.297522292145859,14.9554182520964,1.43576816801735e-50,1.85880700323675e-47
"Gm6548",274.700063033562,-1.49543717081919,0.100680403370721,-14.8533092911115,6.62175039841101e-50,8.00128173141331e-47
"Ccdc28b",407.016440099053,-1.53632474225488,0.109398731356889,-14.0433506239022,8.46155172117291e-45,9.58535155914119e-42
"Rnps1",1121.21718365388,-0.985954625303709,0.0706106441955506,-13.9632577571901,2.61215340560561e-44,2.78501649862363e-41
"Ppp1r3e",124.510152174039,-2.20931005254432,0.158481201043314,-13.9405181056174,3.59322289402361e-44,3.61817583078766e-41
"Hnrnpa3",1631.09923630175,-1.07631070140198,0.0796888200325037,-13.506420360635,1.43322656471683e-41,1.36722270976277e-38
"Gnpda1",351.336182709983,-1.3766785628621,0.108859312362873,-12.6464014238218,1.17117437078563e-36,1.06137677352448e-33
"Rps18",6986.54823824831,-2.18077169711364,0.176521875921418,-12.354115804233,4.62816723685087e-35,3.99454910323438e-32
"Vcp",7816.22281065856,-1.18600073982431,0.0979134756867287,-12.112742720102,9.04192714417925e-34,7.44931497673859e-31
"Nat6",1049.33336106467,-1.62254192209594,0.134210199184247,-12.0895575146898,1.19930896003049e-33,9.45107604371855e-31
"Ccnb1ip1",18.9499523553924,5.4531229941734,0.455298097957621,11.9770388205772,4.68770108275923e-33,3.54019092187546e-30
"C1rb",46.5936066787921,3.66660524059901,0.306746497782116,11.9532097908528,6.24651828837171e-33,4.52872575906949e-30
"Zfp874a",272.063519074284,-1.1644438923324,0.0994396314337136,-11.710058409746,1.1320160960951e-31,7.8914583622014e-29
"Mtrr",391.996901612094,1.07615391514226,0.0920996659215595,11.6846668701145,1.52676989642899e-31,1.02491497676946e-28
"Skint8",36.0148870273554,4.12992405371431,0.357836393171045,11.5413751438642,8.16099935604503e-31,5.28278976172558e-28
"1700030C10Rik",23.8851101011992,-4.82783926260482,0.433902347595467,-11.1265571374734,9.31647307085703e-29,5.82279566928565e-26
"Guca1b",15.0260118488934,-5.74673067718602,0.518428011094108,-11.0849154640736,1.484906156818e-28,8.97130803077543e-26
"H2-Q1",90.4806143374838,3.22559093193617,0.291124570605251,11.0797619219502,1.5729024658125e-28,9.19640554608117e-26
"Acp1",971.72429736551,-1.14162420488756,0.103356415475637,-11.0455088794818,2.30458167162845e-28,1.3053294624458e-25
"Mri1",464.487597662795,-0.970049008126988,0.0887396183404022,-10.9314083863412,8.15724262823646e-28,4.48030371626624e-25
"Glrx",736.293125510654,2.17350853190579,0.200398441970256,10.8459352804169,2.08492382043526e-27,1.1114483601585e-24
"Pisd-ps1",3070.86750089442,-0.87326027177068,0.0806689236067134,-10.825237684193,2.614000558186e-27,1.35367886048918e-24
"Gapdh",950.246088823814,-1.35892943066962,0.127234953401167,-10.6804725772561,1.25630476797076e-26,6.32514553318609e-24
"Masp2",117.029660811677,1.87632318432794,0.176161620358737,10.6511462627727,1.72231065117943e-26,8.43699474395329e-24
"Hmgn2",1318.48727442365,-1.36341025620525,0.128046561903479,-10.6477693421631,1.78593288294612e-26,8.51842986931537e-24
"BC021767",119.891085608527,2.89403182302341,0.274289965888785,10.5509941409845,5.02624299396389e-26,2.33591421193834e-23
"H2-Bl",91.2626579792882,4.46255786053126,0.423495940350697,10.5374277185179,5.80653763129763e-26,2.63108736418174e-23
"Dcpp3",269271.995989765,-6.52549420405244,0.61941568590947,-10.5349192028795,5.96344655157015e-26,2.63627972554168e-23
"Shisa7",200.804527985797,-2.7685129561893,0.263187880130602,-10.519150634199,7.05062940740658e-26,3.04268233355344e-23
"Hddc3",408.130257888416,1.51066850211347,0.143875603754062,10.4998238943676,8.65414253214304e-26,3.64782170686262e-23
"Cox18",289.997981577797,0.971266472718504,0.0926161004301354,10.4870154131697,9.91097049452209e-26,4.08264409575484e-23
"Dusp23",402.104904365478,-1.24056450215201,0.118863415500864,-10.4368909216056,1.68230453069619e-25,6.77594880419297e-23
"Rpl3",16667.002912367,-1.16616393615867,0.112421172644865,-10.3731700063523,3.28444764581797e-25,1.29414377348806e-22
"Rpl34-ps1",5.00750732258029,-5.65037356939162,0.545148453465509,-10.364834630773,3.58377815486643e-25,1.38204210759477e-22
